area,technology,qualifier,year,parameter,value
CZ,hydro ROR,,2020,p_set_pu,0.21
CZ,hydro ROR,,2021,p_set_pu,0.21
CZ,hydro ROR,,2022,p_set_pu,0.21
CZ,hydro ROR,,2023,p_set_pu,0.21
CZ,hydro ROR,,2025,p_set_pu,0.21
CZ,hydro ROR,,2030,p_set_pu,0.21
CZ,hydro ROR,,2035,p_set_pu,0.21
CZ,hydro ROR,,2040,p_set_pu,0.21
CZ,hydro ROR,,2045,p_set_pu,0.21
CZ,hydro ROR,,2050,p_set_pu,0.21
CZ,nuclear power large,,2020,p_set_pu,0.85
CZ,nuclear power large,,2021,p_set_pu,0.85
CZ,nuclear power large,,2022,p_set_pu,0.85
CZ,nuclear power large,,2023,p_set_pu,0.85
CZ,nuclear power large,,2025,p_set_pu,0.85
CZ,nuclear power large,,2030,p_set_pu,0.85
CZ,nuclear power large,,2035,p_set_pu,0.85
CZ,nuclear power large,,2040,p_set_pu,0.85
CZ,nuclear power large,,2045,p_set_pu,0.85
CZ,nuclear power large,,2050,p_set_pu,0.85
DE,hydro ROR,,2020,p_set_pu,0.58
DE,hydro ROR,,2021,p_set_pu,0.58
DE,hydro ROR,,2022,p_set_pu,0.58
DE,hydro ROR,,2023,p_set_pu,0.58
DE,hydro ROR,,2025,p_set_pu,0.58
DE,hydro ROR,,2030,p_set_pu,0.58
DE,hydro ROR,,2035,p_set_pu,0.58
DE,hydro ROR,,2040,p_set_pu,0.58
DE,hydro ROR,,2045,p_set_pu,0.58
DE,hydro ROR,,2050,p_set_pu,0.58
DE,nuclear power large,,2020,p_set_pu,0.85
DE,nuclear power large,,2021,p_set_pu,0.85
DE,nuclear power large,,2022,p_set_pu,0.85
DE,nuclear power large,,2023,p_set_pu,0.85
DE,nuclear power large,,2025,p_set_pu,0.85
DE,nuclear power large,,2030,p_set_pu,0.85
DE,nuclear power large,,2035,p_set_pu,0.85
DE,nuclear power large,,2040,p_set_pu,0.85
DE,nuclear power large,,2045,p_set_pu,0.85
DE,nuclear power large,,2050,p_set_pu,0.85
LT,hydro ROR,,2020,p_set_pu,0.49
LT,hydro ROR,,2021,p_set_pu,0.49
LT,hydro ROR,,2022,p_set_pu,0.49
LT,hydro ROR,,2023,p_set_pu,0.49
LT,hydro ROR,,2025,p_set_pu,0.49
LT,hydro ROR,,2030,p_set_pu,0.49
LT,hydro ROR,,2035,p_set_pu,0.49
LT,hydro ROR,,2040,p_set_pu,0.49
LT,hydro ROR,,2045,p_set_pu,0.49
LT,hydro ROR,,2050,p_set_pu,0.49
SE,hydro ROR,,2020,p_set_pu_annual,0.43
SE,hydro ROR,,2021,p_set_pu_annual,0.43
SE,hydro ROR,,2022,p_set_pu_annual,0.43
SE,hydro ROR,,2023,p_set_pu_annual,0.43
SE,hydro ROR,,2025,p_set_pu_annual,0.43
SE,hydro ROR,,2030,p_set_pu_annual,0.43
SE,hydro ROR,,2035,p_set_pu_annual,0.43
SE,hydro ROR,,2040,p_set_pu_annual,0.43
SE,hydro ROR,,2045,p_set_pu_annual,0.43
SE,hydro ROR,,2050,p_set_pu_annual,0.43
SE,nuclear power large,,2020,p_set_pu,0.85
SE,nuclear power large,,2021,p_set_pu,0.85
SE,nuclear power large,,2022,p_set_pu,0.85
SE,nuclear power large,,2023,p_set_pu,0.85
SE,nuclear power large,,2025,p_set_pu,0.85
SE,nuclear power large,,2030,p_set_pu,0.85
SE,nuclear power large,,2035,p_set_pu,0.85
SE,nuclear power large,,2040,p_set_pu,0.85
SE,nuclear power large,,2045,p_set_pu,0.85
SE,nuclear power large,,2050,p_set_pu,0.85
SK,hydro ROR,,2020,p_set_pu,0.22
SK,hydro ROR,,2021,p_set_pu,0.22
SK,hydro ROR,,2022,p_set_pu,0.22
SK,hydro ROR,,2023,p_set_pu,0.22
SK,hydro ROR,,2025,p_set_pu,0.22
SK,hydro ROR,,2030,p_set_pu,0.23
SK,hydro ROR,,2035,p_set_pu,0.23
SK,hydro ROR,,2040,p_set_pu,0.23
SK,hydro ROR,,2045,p_set_pu,0.23
SK,hydro ROR,,2050,p_set_pu,0.23
SK,nuclear power large,,2020,p_set_pu,0.85
SK,nuclear power large,,2021,p_set_pu,0.85
SK,nuclear power large,,2022,p_set_pu,0.85
SK,nuclear power large,,2023,p_set_pu,0.85
SK,nuclear power large,,2025,p_set_pu,0.85
SK,nuclear power large,,2030,p_set_pu,0.85
SK,nuclear power large,,2035,p_set_pu,0.85
SK,nuclear power large,,2040,p_set_pu,0.85
SK,nuclear power large,,2045,p_set_pu,0.85
SK,nuclear power large,,2050,p_set_pu,0.85
